line,customers,load,cost
0,1.0,17.4302,0.0
1,1.0,2.74003,0.0
2,1.0,13.2001,0.0
3,,,
4,,,
5,1.0,28.5803,0.0
6,1.0,2.74003,0.0
7,,,
8,1.0,17.3602,0.0
9,,,
10,,,
11,,,
12,,,
13,,,
14,1.0,8.13008,0.0
15,,,
16,,,
17,,,
18,1.0,156.24200000000005,0.0
19,1.0,128.431,0.0
20,2.0,4.40005,0.0
21,1.0,2.74003,0.0
22,,,
23,,,
24,,,
25,,,
26,1.0,0.760008,0.0
27,,,
28,1.0,13.1601,0.0
29,1.0,7.2000699999999975,0.0
30,,,
31,1.0,0.760008,0.0
32,1.0,1.66002,0.0
33,1.0,152.342,0.0
34,,,
35,,,
36,,,
37,,,
38,1.0,8.13008,0.0
39,1.0,1.66002,0.0
40,,,
41,,,
42,,,
43,,,
44,1.0,7.38007,0.0
45,,,
46,,,
47,,,
48,,,
49,1.0,27.0003,0.0
50,,,
51,1.0,1.66002,0.0
52,,,
53,,,
54,1.0,0.760008,0.0
55,,,
56,,,
57,,,
58,1.0,4.00004,0.0
59,1.0,2.28002,0.0
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,1.0,7.2800699999999985,0.0
67,1.0,297.923,0.0
68,,,
69,1.0,0.790008,0.0
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,1.0,228.202,0.0
80,,,
81,,,
82,,,
83,1.0,1.66002,0.0
84,,,
85,1.0,8.13008,0.0
86,1.0,128.431,0.0
87,1.0,28.5803,0.0
88,,,
89,,,
90,,,
91,,,
92,1.0,0.760008,0.0
93,,,
94,,,
95,1.0,105.921,0.0
96,,,
97,,,
98,1.0,0.760008,0.0
99,,,
100,,,
101,,,
102,1.0,2.74003,0.0
103,1.0,8.13008,0.0
104,,,
105,,,
106,1.0,2.74003,0.0
107,,,
108,,,
109,1.0,2.74003,0.0
110,1.0,8.13008,0.0
111,,,
112,,,
113,,,
114,1.0,0.760008,0.0
115,1.0,16.1102,0.0
116,,,
117,,,
118,1.0,128.431,0.0
119,1.0,27.1603,0.0
120,,,
121,1.0,2.74003,0.0
122,1.0,2.74003,0.0
123,1.0,82.1108,0.0
124,,,
125,1.0,57.2806,0.0
126,,,
127,,,
128,1.0,1.66002,0.0
129,,,
130,,,
131,,,
132,2.0,4.40005,0.0
133,2.0,2.4200280000000003,0.0
134,0.0,0.0,0.0
135,,,
136,2.0,2.4200280000000003,0.0
137,,,
138,,,
139,,,
140,,,
141,1.0,0.760008,0.0
142,,,
143,1.0,39.8404,0.0
144,,,
145,1.0,0.760008,0.0
146,1.0,1.66002,0.0
147,,,
148,,,
149,1.0,1.66002,0.0
150,1.0,119.561,0.0
151,1.0,2.74003,0.0
152,1.0,2.74003,0.0
153,1.0,0.420004,0.0
154,1.0,2.74003,0.0
155,,,
156,,,
157,,,
158,1.0,0.760008,0.0
159,,,
160,,,
161,,,
162,1.0,2.08002,0.0
163,,,
164,,,
165,,,
166,,,
167,,,
168,1.0,227.682,0.0
169,1.0,2.74003,0.0
170,1.0,2.74003,0.0
171,,,
172,,,
173,,,
