,event_duration,k,lambda_overhead,lambda_underground,number,percent_underground,timestamp
0,30,10,1,1,0,1.0,2019-05-06 15:40:55
1,30,10,1,1,1,1.0,2019-05-06 15:40:55
2,30,10,1,1,2,1.0,2019-05-06 15:40:55
3,30,10,1,1,3,1.0,2019-05-06 15:40:56
4,30,10,1,1,4,1.0,2019-05-06 15:40:56
5,30,10,1,1,5,1.0,2019-05-06 15:40:56
6,30,10,1,1,6,1.0,2019-05-06 15:40:56
7,30,10,1,1,7,1.0,2019-05-06 15:40:56
8,30,10,1,1,8,1.0,2019-05-06 15:40:56
9,30,10,1,1,9,1.0,2019-05-06 15:40:57
10,30,10,1,1,10,0.1999999549891361,2019-05-06 15:40:59
11,30,10,1,1,11,0.1999999549891361,2019-05-06 15:40:59
12,30,10,1,1,12,0.1999999549891361,2019-05-06 15:41:00
13,30,10,1,1,13,0.1999999549891361,2019-05-06 15:41:00
14,30,10,1,1,14,0.1999999549891361,2019-05-06 15:41:00
15,30,10,1,1,15,0.1999999549891361,2019-05-06 15:41:00
16,30,10,1,1,16,0.1999999549891361,2019-05-06 15:41:01
17,30,10,1,1,17,0.1999999549891361,2019-05-06 15:41:01
18,30,10,1,1,18,0.1999999549891361,2019-05-06 15:41:01
19,30,10,1,1,19,0.1999999549891361,2019-05-06 15:41:01
20,30,10,1,1,20,0.3999997214325229,2019-05-06 15:41:03
21,30,10,1,1,21,0.3999997214325229,2019-05-06 15:41:04
22,30,10,1,1,22,0.3999997214325229,2019-05-06 15:41:04
23,30,10,1,1,23,0.3999997214325229,2019-05-06 15:41:04
24,30,10,1,1,24,0.3999997214325229,2019-05-06 15:41:04
25,30,10,1,1,25,0.3999997214325229,2019-05-06 15:41:04
26,30,10,1,1,26,0.3999997214325229,2019-05-06 15:41:04
27,30,10,1,1,27,0.3999997214325229,2019-05-06 15:41:05
28,30,10,1,1,28,0.3999997214325229,2019-05-06 15:41:05
29,30,10,1,1,29,0.3999997214325229,2019-05-06 15:41:05
30,30,10,1,1,30,0.5999957768899229,2019-05-06 15:41:07
31,30,10,1,1,31,0.5999957768899229,2019-05-06 15:41:07
32,30,10,1,1,32,0.5999957768899229,2019-05-06 15:41:08
33,30,10,1,1,33,0.5999957768899229,2019-05-06 15:41:08
34,30,10,1,1,34,0.5999957768899229,2019-05-06 15:41:12
35,30,10,1,1,35,0.5999957768899229,2019-05-06 15:41:12
36,30,10,1,1,36,0.5999957768899229,2019-05-06 15:41:12
37,30,10,1,1,37,0.5999957768899229,2019-05-06 15:41:13
38,30,10,1,1,38,0.5999957768899229,2019-05-06 15:41:13
39,30,10,1,1,39,0.5999957768899229,2019-05-06 15:41:13
40,30,10,1,1,40,0.7999989453417755,2019-05-06 15:41:15
41,30,10,1,1,41,0.7999989453417755,2019-05-06 15:41:15
42,30,10,1,1,42,0.7999989453417755,2019-05-06 15:41:16
43,30,10,1,1,43,0.7999989453417755,2019-05-06 15:41:16
44,30,10,1,1,44,0.7999989453417755,2019-05-06 15:41:16
45,30,10,1,1,45,0.7999989453417755,2019-05-06 15:41:16
46,30,10,1,1,46,0.7999989453417755,2019-05-06 15:41:16
47,30,10,1,1,47,0.7999989453417755,2019-05-06 15:41:17
48,30,10,1,1,48,0.7999989453417755,2019-05-06 15:41:17
49,30,10,1,1,49,0.7999989453417755,2019-05-06 15:41:17
50,30,10,1,1,50,0.0,2019-05-06 15:41:20
51,30,10,1,1,51,0.0,2019-05-06 15:41:20
52,30,10,1,1,52,0.0,2019-05-06 15:41:21
53,30,10,1,1,53,0.0,2019-05-06 15:41:21
54,30,10,1,1,54,0.0,2019-05-06 15:41:21
55,30,10,1,1,55,0.0,2019-05-06 15:41:25
56,30,10,1,1,56,0.0,2019-05-06 15:41:25
57,30,10,1,1,57,0.0,2019-05-06 15:41:26
58,30,10,1,1,58,0.0,2019-05-06 15:41:26
59,30,10,1,1,59,0.0,2019-05-06 15:41:31
60,30,10,100,100,60,1.0,2019-05-06 15:47:39
61,30,10,100,100,61,1.0,2019-05-06 15:48:10
62,30,10,100,100,62,1.0,2019-05-06 15:48:19
63,30,10,100,100,63,1.0,2019-05-06 15:48:53
64,30,10,100,100,64,1.0,2019-05-06 15:49:03
65,30,10,100,100,65,1.0,2019-05-06 15:49:13
66,30,10,100,100,66,1.0,2019-05-06 15:49:44
67,30,10,100,100,67,1.0,2019-05-06 15:49:48
68,30,10,100,100,68,1.0,2019-05-06 15:50:03
69,30,10,100,100,69,1.0,2019-05-06 15:51:19
70,30,10,100,100,70,0.1999999549891361,2019-05-06 15:51:39
71,30,10,100,100,71,0.1999999549891361,2019-05-06 15:55:33
72,30,10,100,100,72,0.1999999549891361,2019-05-06 15:56:04
73,30,10,100,100,73,0.1999999549891361,2019-05-06 15:56:42
74,30,10,100,100,74,0.1999999549891361,2019-05-06 15:57:01
75,30,10,100,100,75,0.1999999549891361,2019-05-06 15:57:28
76,30,10,100,100,76,0.1999999549891361,2019-05-06 15:57:53
77,30,10,100,100,77,0.1999999549891361,2019-05-06 15:58:02
78,30,10,100,100,78,0.1999999549891361,2019-05-06 15:58:11
79,30,10,100,100,79,0.1999999549891361,2019-05-06 16:00:00
80,30,10,100,100,80,0.3999997214325229,2019-05-06 16:00:31
81,30,10,100,100,81,0.3999997214325229,2019-05-06 16:00:45
82,30,10,100,100,82,0.3999997214325229,2019-05-06 16:01:16
83,30,10,100,100,83,0.3999997214325229,2019-05-06 16:01:41
84,30,10,100,100,84,0.3999997214325229,2019-05-06 16:11:48
85,30,10,100,100,85,0.3999997214325229,2019-05-06 16:11:57
86,30,10,100,100,86,0.3999997214325229,2019-05-06 16:12:21
87,30,10,100,100,87,0.3999997214325229,2019-05-06 16:12:38
88,30,10,100,100,88,0.3999997214325229,2019-05-06 16:12:46
89,30,10,100,100,89,0.3999997214325229,2019-05-06 16:12:58
90,30,10,100,100,90,0.5999957768899229,2019-05-06 16:13:48
91,30,10,100,100,91,0.5999957768899229,2019-05-06 16:14:15
92,30,10,100,100,92,0.5999957768899229,2019-05-06 16:14:42
93,30,10,100,100,93,0.5999957768899229,2019-05-06 16:15:09
